date,open,high,low,close,volume
2004-01-02,996.996,1021.568,993.892,1011.347,8064653
2004-01-05,1008.279,1060.898,1008.279,1060.801,1446818000
2004-01-06,1059.141,1086.694,1059.095,1075.656,1699133400
2004-01-07,1075.562,1095.841,1070.98,1086.303,1372941900
2004-01-08,1087.68,1108.291,1082.509,1102.662,1078042700
2004-01-09,1105.77,1115.461,1079.072,1081.785,1346744200
2004-01-12,1081.807,1117.505,1079.773,1116.799,1023394300
2004-01-13,1120.149,1123.656,1089.633,1102.341,983718900
2004-01-14,1101.445,1101.666,1076.869,1079.72,712049900
2004-01-15,1078.533,1088.67,1070.727,1073.977,617920700
2004-01-16,1076.636,1087.817,1067.847,1083.652,717416700
2004-01-29,1086.657,1101.027,1084.455,1100.604,579123000
2004-01-30,1102.17,1103.699,1066.445,1067.553,776111800
2004-02-02,1107.49,1116.314,1069.967,1091.729,1543292200
2004-02-03,1091.865,1103.244,1084.391,1102.954,841110700
2004-02-04,1104.74,1130.139,1104.74,1128.443,1053499000
2004-02-05,1135.616,1136.423,1118.168,1127.897,977431400
2004-02-06,1125.488,1139.088,1108.909,1122.084,1114033700
2004-02-09,1122.285,1134.91,1122.275,1134.611,859830500
2004-02-10,1137.717,1141.994,1116.929,1120.961,866278000
2004-02-11,1121.807,1123.769,1100.237,1110.061,924632000
2004-02-12,1110.835,1122.482,1092.293,1094.112,958159700
2004-02-13,1094.002,1105.819,1088.859,1096.362,690482100
2004-02-16,1098.858,1124.355,1098.858,1123.748,762341000
2004-02-17,1127.098,1132.714,1121.277,1123.618,881589700
2004-02-18,1123.701,1136.532,1119.628,1129.275,809371100
2004-02-19,1130.396,1138.082,1119.669,1122.38,713080500
2004-02-20,1122.93,1125.372,1112.944,1124.661,598875900
2004-02-23,1126.231,1129.52,1092.014,1093.137,880250900
2004-02-24,1090.25,1095.937,1072.329,1093.102,844938200
2004-02-25,1094.431,1104.349,1067.127,1070.362,806405500
2004-02-26,1068.125,1080.232,1061.197,1079.897,810089000
2004-02-27,1081.715,1090.892,1079.934,1088.725,729306900
2004-03-01,1089.653,1095.233,1076.076,1094.242,644171500
2004-03-02,1096.105,1099.714,1086.724,1093.391,557731800
2004-03-03,1093.358,1093.742,1067.944,1072.639,521481900
2004-03-04,1070.9,1079.269,1061.888,1078.348,481043300
2004-03-05,1080.338,1083.14,1070.302,1071.581,336502700
2004-03-08,1070.114,1075.748,1056.044,1057.102,459984900
2004-03-09,1057.358,1075.22,1056.883,1061.159,691802100
2004-03-10,1062.976,1091.346,1062.976,1091.097,611397300
2004-03-11,1092.741,1102.221,1086.547,1095.564,576179100
2004-03-12,1096.348,1102.126,1088.441,1099.081,523609700
2004-03-15,1100.404,1134.283,1100.149,1131.675,1025206900
2004-03-16,1136.273,1139.486,1127.851,1135.571,732935900
2004-03-17,1136.453,1139.276,1124.6,1135.167,548980200
2004-03-18,1134.926,1141.809,1110.318,1111.849,686980500
2004-03-19,1110.442,1130.264,1107.103,1129.775,588599400
2004-03-22,1130.868,1141.812,1126.193,1134.787,509368600
2004-03-23,1133.993,1134.126,1115.67,1121.332,558753500
2004-03-24,1120.206,1125.06,1109.334,1115.512,480013900
2004-03-25,1114.748,1126.187,1108.179,1115.239,460921600
2004-03-26,1115.493,1118.724,1105.554,1112.782,539454700
2004-03-29,1112.276,1115.054,1100.428,1101.659,533627000
