Date,Close
20200311,5589.53
20200312,5493.88
20200313,5457.20
20200316,5200.11
20200317,5212.06
20200318,5119.47
20200319,5157.82
20200320,5219.28
20200323,4998.91
20200324,5096.04
20200325,5217.42
20200326,5166.11
20200327,5137.34
20200330,5027.49
20200331,5041.45
20200401,5019.22
20200402,5147.20
20200403,5107.04
20200407,5267.07
20200408,5271.80
20200409,5322.46
20200410,5208.51
20200413,5169.18
20200414,5288.59
20200415,5268.75
20200416,5316.97
20200417,5318.45
20200420,5381.79
20200421,5343.88
20200422,5387.62
20200423,5357.79
20200424,5273.55
20200427,5265.72
20200428,5227.85
20200429,5226.81
20200430,5353.86
20200506,5451.32
20200507,5445.75
20200508,5507.70
20200511,5496.19
20200512,5512.46
20200513,5536.28
20200514,5487.11
20200515,5507.93
20200518,5478.82
20200519,5547.88
20200520,5489.70
20200521,5426.17
20200522,5328.23
20200525,5316.60
20200526,5420.21
20200527,5369.50
20200528,5361.17
20200529,5406.34
20200601,5569.48
20200602,5566.44
20200603,5572.31
20200604,5576.75
20200605,5585.42
20200608,5575.30
20200609,5610.38
20200610,5615.24
20200611,5589.10
20200612,5591.49
20200615,5590.64
20200616,5695.30
20200617,5735.42
20200618,5734.40
20200619,5787.15
20200622,5784.03
20200623,5804.34
20200624,5789.09
20200629,5762.44
20200630,5864.42
20200701,5881.89
20200702,5975.28
20200703,6051.51
20200706,6299.86
20200707,6380.03
20200708,6535.42
20200709,6693.75
20200710,6676.44
20200713,6899.52
20200714,6807.73
20200715,6638.84
20200716,6320.00
20200717,6344.59
20200720,6526.83
20200721,6563.32
20200722,6620.69
20200723,6620.09
20200724,6283.98
20200727,6298.74
20200728,6359.66
20200729,6530.27
20200730,6511.44
20200731,6579.67
20200803,6739.81
20200804,6697.71
20200805,6772.84
20200806,6770.30
20200807,6688.88
20200810,6725.30
20200811,6600.85
20200812,6528.40
20200813,6552.66
20200814,6623.56
20200817,6744.55
20200818,6789.40
20200819,6666.27
20200820,6593.79
20200821,6643.94
20200824,6688.96
20200825,6652.55
20200826,6525.88
20200827,6578.79
20200828,6691.21
20200831,6668.43
20200901,6710.46
20200902,6717.56
20200903,6662.25
20200904,6618.58
20200907,6478.81
20200908,6525.10
20200909,6349.22
20200910,6235.57
20200911,6311.97
20200914,6351.24
20200915,6387.88
20200916,6353.84
20200917,6367.02
20200918,6469.47
20200921,6445.96
20200922,6358.65
20200923,6392.03
20200924,6244.64
20200925,6236.89
20200928,6178.47
20200929,6228.77
20200930,6192.50
20201009,6357.97
20201012,6541.18
20201013,6551.40
20201014,6508.37
20201015,6460.04
20201016,6428.68
20201019,6358.32
20201020,6423.11
20201021,6350.01
20201022,6317.14
20201023,6213.26
20201026,6214.38
20201027,6221.34
20201028,6246.00
20201029,6255.19
20201030,6111.48
20201102,6143.12
20201103,6241.77
20201104,6234.16
20201105,6351.98
20201106,6301.25
20201109,6421.65
20201110,6373.09
20201111,6294.61
20201112,6315.49
20201113,6306.97
20201116,6387.37
20201117,6336.94
20201118,6341.01
20201119,6360.60
20201120,6422.99
20201123,6472.93
20201124,6475.19
20201125,6350.37
20201126,6334.30
20201127,6351.61
20201130,6320.94
20201201,6426.62
20201202,6434.98
20201203,6440.88
20201204,6464.73
20201207,6424.68
20201208,6423.65
20201209,6307.22
20201210,6320.10
20201211,6209.43
20201214,6259.02
20201215,6265.58
20201216,6235.44
20201217,6308.90
20201218,6291.92
20201221,6398.60
20201222,6250.06
20201223,6307.60
20201224,6205.22
20201225,6278.50
20201228,6244.48
20201229,6199.85
20201230,6269.25
20201231,6367.11
20210104,6482.79
20210105,6539.73
20210106,6528.14
20210107,6538.12
20210108,6557.60
20210111,6455.40
20210112,6543.23
20210113,6496.91
20210114,6439.89
20210115,6417.50
20210118,6514.46
20210119,6476.37
20210120,6535.42
20210121,6622.50
20210122,6637.81
20210125,6645.31
20210126,6532.96
20210127,6557.16
20210128,6414.38
20210129,6346.14
20210201,6393.28
20210202,6454.79
20210203,6399.33
20210204,6328.79
20210205,6239.87
20210208,6323.16
20210209,6457.88
20210210,6525.17
20210218,6614.54
20210219,6703.48
20210222,6657.06
20210223,6631.23
